Descripcion,Codigo
     ENCOFRADO Y DESENCOFRADO PRELOSA MACIZA SOTANOS,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 ,CA
     PRELOSA MACISA SOTANO 0.17,CA
     INSTALACION PRELOSA MACIZA,CA
     SELLADO DE JUNTAS PRELOSAS,JUN
     ACABADO DE LOSA DE ESTACIONAMIENTO,CA
     CURADO DE CONCRETO CON ADITIVO,CA
     CONCRETO PREMEZCLADO F'C=280 kg/cm2 - TIPO I -  VIGA,CA
     ENCOFRADO DE VIGAS Y CORTES,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 - VIGAS,CA
     CURADO DE CONCRETO CON ADITIVO VIGAS,CA
     CONCRETO PREMEZCLADO F'C=280 kg/cm2  -  TIPO I - RAMPA,CA
     ENCOFRADO DE RAMPAS,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 - RAMPA,CA
     ACABADO DE LOSA DE ESTACIONAMIENTO,CA
     CURADO DE CONCRETO CON ADITIVO RAMPA,CA
     CONCRETO PREMEZCLADO F'C=280 kg/cm2  -  TIPO I - ESCALERA,CA
     ENCOFRADO DE ESCALERA,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 - ESCALERA,CA
     CURADO DE CONCRETO CON ADITIVO - ESCALERA,CA
     CONCRETO PREMEZCLADO F'C=280 kg/cm2 -  LOSA DE PISO CISTERNA,CA
     CONCRETO PREMEZCLADO F'C=280 kg/cm2 -  MURO CISTERNA,CA
     ENCOFRADO MUROS CISTERNA,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 - CISTERNA,CA
     CURADO DE CONCRETO CON ADITIVO,CA
     CONCRETO F'C=280 kg/cm2 -  PRELOSA MACIZA CISTERNA,CA
     ENCOFRADO Y DESENCOFRADO PRELOSA MACIZA  CISTERNA,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 ,CA
     PRELOSA MACISA CISTERNA,CA
     INSTALACION PRELOSA MACIZA CISTERNA,CA
     SELLADO DE JUNTAS PRELOSAS CISTERNA,CA
     CURADO DE CONCRETO CON ADITIVO,CA
     CONCRETO PREMEZCLADO F'C= 280 KG/CM2 VIGA CISTERNA,CA
     ENCOFRADO DE VIGAS CISTERNA,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 - CISTERNA,CA
     CURADO DE CONCRETO CON ADITIVO - VIGAS CISTERNA,CA
     JUNTA DE CONSTRUCCION,JUN
          MURO PLACA P-10,ALB
          SOLAQUEO EN MUROS - SOTANO,REVO
          TARRAJEO IMPERMEABILIZADO CISTERNA,REVO
          SOLAQUEO DE VIGAS Y CIELO RASO,REVO
          ACABADO FROTACHADO Y BRUÑADO EN RAMPAS,REVO
          ACABADO FROTACHADO PISO ESTACIONAMIENTO,REVO
          PISO CERAMICO B2B CEMENTO GRIS 45 X 45,PP
          PISO CERAMICO B2B CEMENTO GRIS 45 X 45 AREAS COMUNES,PP
          REVESTIMIENTO EN PASOS Y CONTRAPASOS ESCALERAS CON CEMENTO SEMI PULIDO,PP
          PISO DE CEMENTO PULIDO EN PAZADIZO COMUN,PP
          CONTRAZOCALO DE CEMENTO PULIDO H= 20cm EN EXTERIOR,ZC
          CONTRAZOCALO DE CEMENTO PULIDO H=10cm EN INTERIORES,ZC
          CONTRAZOCALO DE CERAMICO B2B CEMENTO GRIS H= 09 CM,ZC
          ZOCALO DE CERAMICA B2B GRANILLA 30x30 CM,ZC
               BARANDA METALICAS EN PASADIZO,CMT
               SUMINISTRO PUERTA SECCIONABLE DE INGRESO ESTAC. APANELADA,PUER
               INSTALACION PUERTA SECCIONABLE DE INGRESO ESTAC.,PUER
               R-1 REGISTRO CISTERNA 0.80 X 0.60,TVAR
               FABRICACION DE TAPA METALICA DE INSPECCION CISTERNA,CMT
               SUMINISTRO ROMPEAGUAS,TVAR
               ESCALERA DE GATO CTO DE BOMBAS,CMT
               CANALETA DE PISO SOTANOS,CMT
          PINTURA LATEX EN MUROS INTERIORES,PINT
          PINTURA LATEX EN CIELO RASO,PINT
          PINTURA EPOXICA IMPERMEABILIZANTE CTO. MAQUINAS,PINT
          PINTURA SEÑALIZACION EN ESTACIONAMIENTO-DIVISIONES,PINT
          PINTURA SEÑALIZACION EN ESTACIONAMIENTO-MUROS Y FLECHAS,PINT
          PINTURA DE TRAFICO - EN COLUMNAS DE ESTACIONAMIENTO,PINT
          PINTURA DE TRAFICO - NUMERACION DE ESTACIONAMIENTOS,PINT
          LIMPIEZA DE CTO DE ACOPIO,TVAR
          LIMPIEZA DE LOBBY DE INGRESO,TVAR
          LIMPIEZA Y DESNFECCION DE CISTERNA,TVAR
          LIMPIEZA Y RESANE DE CAJA DE ASCENSORES,TVAR
          PROTECCION DE COLUMNAS ESTACIONAMIENTO,ESTIM
          TOPES LLANTAS,ESTIM
          ESPEJO CONVEXO ESTACIONAMIENTOS,ESTIM
          RACK PARA BICICLETAS ,ESTIM
     CONCRETO PREMEZCLADO f'c=280 kg/cm2 - TIPO I - PLACAS EDIFICIO,CA
     ENCOFRADO PLACAS EDIFICIO,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 - PLACAS,CA
     CURADO DE CONCRETO CON ADITIVO PLACAS,CA
     CONCRETO PREMEZCLADO f'c=280 kg/cm2 - TIPO I - COLUMNAS EDIFICIO,CA
     ENCOFRADO DE COLUMNAS EDIFICIO,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 - COLUMNAS,CA
     CURADO DE CONCRETO CON ADITIVO COLUMNAS,CA
     CONCRETO F'C=280 kg/cm2 -  PRELOSA MACIZA  EDIFICIO,CA
     ENCOFRADO Y DESENCOFRADO PRELOSA MACIZA EDIFICIO,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 ,CA
     PRELOSA MACISA EDIFICIO 0.17,CA
     INSTALACION PRELOSA MACIZA EDIFICIO,CA
     SELLADO DE JUNTAS PRELOSAS,CA
     ACABADO DE LOSA DE ESTACIONAMIENTO,CA
     CURADO DE CONCRETO CON ADITIVO,CA
     CONCRETO PREMEZCLADO F'C=280 kg/cm2 - TIPO I -  VIGA,CA
     ENCOFRADO DE VIGAS Y CORTES,CA
     ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60 - VIGAS,CA
     CURADO DE CONCRETO CON ADITIVO VIGAS,CA
               CONCRETO PREMEZCLADO F'C=210 kg/cm2 ESCALERA,CA
               ENCOFRADO ESCALERA,CA
               ACERO CORRUGADO FY= 4200 kg/cm2 GRADO 60,CA
               CURADO DE CONCRETO CON ADITIVO,CA
               JUNTA DE CONSTRUCCION,JUN
     MURO PLACA P-10  ,ALB
     MURO PLACA P-10  (CORTAFUEGO),ALB
     MURO PLACA P-7,ALB
     MURO DE ALBAÑILERIA LADRILLO CALCAREO 12.5 X 16 X 24 (FACHADA PRINCIPAL),ALB
     MURO DE ALBAÑILERIA LADRILLO CALCAREO 12.5 X 16 X 24 (FACHADA POSTERIOR),ALB
                  CAJUELA DE LLAVES DE CONTROL DE AGUA - INC.REJILLA,REVO
                   PASES PARA EXTRACTOR DE BAÑOS,REVO
                     SOLAQUEADO  DE MUROS INTERIORES,REVO
                     RESANE DE COLUMNAS Y PLACAS,REVO
                     LIMPIEZA Y RESANE DE CAJA DE ASCENSORES,REVO
                     VESTIDURA DE DERRAMES,REVO
                     LIMPIEZA Y RESANE EN DUCTOS DE INSTALACIONES,REVO
                     SOLAQUEADO  DE MUROS INTERIORES - AREAS COMUNES,REVO
"                     TARRAJEO COLUMNAS, PLACAS Y TABIQUES, MEZ C:A 1:5 CM (FACHADA)",REVO
                     BRUÑAS EN MUROS HORIZONTALES (LOSA),REVO
                    BRUÑAS EN MUROS VERTICALES (VENTANTAS),REVO
                   SOLAQUEO DE COLUMNAS Y PLACAS MURO CIEGO,REVO
                   TARRAJEO  FACHADA INTERIOR,REVO
                   BRUÑAS HORIZONTALES,REVO
                   BRUÑAS VERTICALES,REVO
              .    BRUÑAS  VENTANAS,REVO
                 SOLAQUEO DE  VIGA (INCLUYE RESANE),REVO
                SOLAQUEO  CIELO RASO AREAS COMUNES,REVO
                 SOLAQUEO FONDO ESCALERA (INCLUYE RESANE),REVO
               PISO DE CEMENTO SEMIPULIDO  AREAS COMUNES,PP
               PISO SPC 5.5MM  SALA COMEDOR CORREDOR,PP
               PISO SPC 5.5MM  DORMITORIOS,PP
               PISO SPC 5.5MM  COCINAS,PP
               PISO SPC 5.5MM LAVANDERIAS,PP
               PISO PORCELANATO NEW SAND GRIS 60X60 - TERRAZAS.,PP
               PISO CERAMICO B2B CEMENTO GRIS 45 X 45 AREAS COMUNES PASADIZOS,PP
               PISO GRES PORCELANICO ESMALTADO ESSENZIAL GRIS MATE 60 X 60 EN BAÑOS KLIPEN,PP
               PISO GRES PORCELANICO NEW DETROIT LIGHT GREY MATE 60 X 60   KLIPEN  AREAS COMUNES 1ER P.+ AZOTEA,PP
               PISO DE CAUCHO GIMNASIO,PP
     REVESTIMIENTO EN PASOS Y CONTRAPASOS ESCALERAS CON CEMENTO SEMI PULIDO,REV
     REVESTIMIENTO DESCANSO,REV
               ZOCALO DE CERAMICO  - BAÑOS  MODELO BRICK  (SL),ZC
               ZOCALO DE CERAMICO  - COCINAS - MODELO BRICK (SL),ZC
               ZOCALO DE CERAMICO  - LAV. CERAMICO CASTELL POLAR ,ZC
               ZOCALO AMERICA BLANCO 30 X 30 - AREAS COMUN. SS.HH.,ZC
               CONTRAZOCALO DE CERAMICO AREAS COMUNES,ZC
               CONTRAZOCALO DE FAMOSSUL - MDF ULTRA - 10CM SALA-COM.,ZC
               CONTRAZOCALO DE FAMOSSUL - MDF ULTRA - 10CM - DORMIT.,ZC
               CONTRAZOCALO TERRAZAS,ZC
               CONTRAZOCALO BAÑOS,ZC
               CONTRAZOCALO DE FAMOSSUL - MDF ULTRA - 10CM - COCINA,ZC
               CONTRAZOCALO LAVANDERIAS,ZC
               CONTRAZOCALO B2B GRIS 0.10 AREAS COMUN ES ,ZC
               PERFILES DE TRANSICION PISO SPC,ZC
               COBERTURA DE LADRILLO PASTELERO,COB
               P10 PUERTA CORTA FUEGO 1.00X2.10 RF-90 ESCAL.,CMT
               BARANDA DE ESCALERA COMUN  - PISOS SUPERESTRUCTURA,CMT
               PASAMANOS DE ESCALERA,CMT
"               BARANDA DE ACERO INOXIDABLE DE 2"" - INGRESO",CMT
               ESCALERA DE GATO PARA AZOTEA,CMT
               REJILLA DE PROTECCION TECHO AZOTEA,CMT
               TAPA METALICA PARA ACCESO AZOTEA,CMT
               CANTONERA DE ALUMINIO ESCALERAS,CMT
               P1 0.90 PUERTA DE PRINCIPAL ,PUER
               P2 0.80 x 2.10 CONTRAP. MDF4MM  DORMITORIOS,PUER
               P3 0.70 x 2.10 CONTRAP. MDF4MM BAÑOS,PUER
               PUERTA P/DUCTOS DE INSTALACIONES,PUER
               P1'  0.90 PUERTA DE PRINCIPAL 5.5 - MADERA CORTAFUEGO - DPTOS,PUER
               P5 0.90 x 2.10 MADERA CORTAFUEGO  - AA.CC.,PUER
               P6 1.00 x 2.10 MADERA CORTAFUEGO  - AA.CC.,PUER
               P3 0.70 x 2.10 CONTRAP. MDF4MM  - AA.CC.,PUER
               P4 1.00 x 2.10 CONTRAP. MDF4MM  - AA.CC.,PUER
               MUEBLE BAJO DE COCINA,MCO
"               MUEBLE ALTOS  DE COCINA, ",MCO
               CLOSET DORMITORIOS,CLO
               WC DORMITORIOS,CLO
               MUEBLES DE BAÑO,MBA
               MUEBLES DE BAÑO - AACC,MBA
               PUERTAS DE LAVANDERIA PEGABLE,PUER
           KIT CERRADURA PRINCIPAL DE EMBUTIR MANIJA MILAN CILINDRO YALE,CERR
          CERRADURA MANIJA DOVER PUERTA INTERIOR YALE,CERR
          CERRADURA MANIJA DOVER PUERTA BAÑOS YALE,CERR
"          BISAGRA ZINCADA 3"" X 3""",CERR
          TOPE MEDIA LUNA AC INOX T-ML HERRAYMA,CERR
          CERRADURA PARA PUERTA PRINCIPAL C/MANIJA - AA.CC.,CERR
          CERRADURA PARA PUERTA DE BAÑOS - AA.CC.,CERR
          TOPE MEDIA LUNA AC INOX T-ML HERRAYMA  AACC,CERR
                        V1     1.20 x 2.10 ,VMP
                        V1A   1.20 x 1.70,VMP
                        V2     1.20 x 2.50,VMP
                        V3     1.40 x 2.10,VMP
                        V10   1.40 x 1.70,VMP
                        CELOCIAS 0.90 X 1.70,VMP
                        M1   1.50 X 2.10 - DORMITORIO,VMP
                        M2   1.80 X 2.10 - SALA C/REJILLA,VMP
                        M4   1.80 X 2.10 - SALA S/REJILLA,VMP
               BARANDAS FACHADA PRINCIPAL,VMP
                        V9     1.00 x 2.50 - C/REJILLA,VMP
                        V12   1.00 X 2.50 - S/REJILLA,VMP
                        V13   0.80 x 2.50 - S/REJILLA,VMP
                        V14   0.90  x 2.50 - C/REJILLA,VMP
                        M5   1.50 X 2.40 - C/REJILLA,VMP
                        M6   1.80 X 2.40 - C/REJILLA,VMP
                        M6'   1.80 X 2.40 - C/REJILLA  (1.75),VMP
                        M12   1.60 x 2.40 - S/REJILLA,VMP
               BARANDAS FACHADA INTERIOR,VMP
               MAMPARA CORREDIZA   2.40 X 2.40,VMP
               PUERTA MAMPARA   1.00/1.90 X 2.40,VMP
               PUERTA MAMPARA   1.00/1.40 X 2.40,VMP
               MAMPARA FIJA  2.55 X 2.40,VMP
               MAMPARA FIJA  3.66 X 2.40,VMP
               PUERTAS DE DUCHAS TEM´PLADO 6MM  DE 0.80 A 1.30,VMP
               ESPEJOS BISSELADO 1.00 X 1.00 VIDRIO ,VMP
               BARANDAS DE VIDRIO EN PISCINA AACC,VMP
               BARANDAS DE VIDRIO EN TERRAZA AACC,VMP
               Implementación (Dptos y AACC),IMP
               ACABADO MICROCEMENTO EN MUROS EXTER. GRIS CLARO,REV
               ENCHAPE ROCOCHO MODELO ESCARCHE 0.075 X 0.22,REV
               PINTURA LATEX EN MUROS EXTERIORES - FACHADAS INTERIORES,PINT
               PINTURA LATEX EN MUROS EXTERIORES - FACHADA CIEGA,PINT
               PINTURA LATEX EN MUROS INTERIORES ,PINT
               PINTURA LATEX EN CIELO RASO,PINT
               PINTURA OLEO EN BAÑOS,PINT
               PINTURA LATEX EN CIELO RASO AREAS COMUNES,PINT
               PINTURA TEMPLE EN FONDO DE ESCALERA,PINT
               INODORO ONE PIECE BLANCO  FV TRENTO,ASG
               LAVATORIO EMPOTRAR FV ALBA E334 BLANCO,ASG
               LAVADERO DE ACERO INOX. CUBUS S/ESCURRIDERO  43.50cm.,ASG
                LAVADERO DE ROPA AMAZONAS,ASG
               INODORO ONE PIECE BLANCO  FV TRENTO - AACC,ASG
               LAVATORIO EMPOTRAR FV ALBA E334 BLANCO - AACC,ASG
               LAVADERO DE ACERO INOX. TEKA S/ESCURRIDERO  43.50cm. AACC,ASG
               DESAGUE DE DUCHA JUSTIME 10 X 10 - NEGRA,ASG
              MZ.MONOC.MINIM.LAVAT.BAJA CARTAGENA CRO- NEGRA,ASG
              MEZCL.DUCHA MOD.CARTAGENA MONOCOM.C/SAL.ESP - NEGRA,ASG
              GRIFERIA COCINA  MONOMANDO TOP PRO 3.0 BLACK - NEGRO FDV,ASG
               LLAVE SIMPLE PARA LAVADERO DE ROPA,ASG
              MZ.MONOC.MINIM.LAVAT.BAJA CARTAGENA CRO- NEGRA - AACC,ASG
"              GRIFERIA COCINA  MODELO BUZIOS, AACC PARRILLAS",ASG
               ACCESORIOS PARA BAÑO,ASG
               ACCESORIOS BAÑO DISCAPACITADOS,ASG
          TRATAMIENTO JARDINERAS 1ER. PISO  - INGRESO ,TVAR
          TRATAMIENTO JARDINERAS 1ER. PISO - JARDIN INTERIOR,TVAR
          TRATAMIENTO JARDINERAS AZOTEA,TVAR
          LIMPIEZA AREAS COMUNES,TVAR
          LIMPIEZA FINAL DEPARTAMENTO ,TVAR
          LIMPIEZA DE LOBBY DE INGRESO,TVAR
          LIMPIEZA AREAS COMUNES EN AZOTEA,TVAR
          TABLERO DE GRANITO BLANCO SERENA COCINAS - SIMPLE,TAB
          TABLERO DE GRANITO BLANCO SERENA COCINAS - DOBLE,TAB
          TABLERO DE CONCRETO BAÑOS  70 X 60 ACABADO PULIDO,TAB
          DINTEL DE DRYWALL,COB
          PLATINA DE ALUMINIO(CAMBIO DE ACABADO EN PISOS),TVAR
          NUMERACION DE DEPARTAMENTOS,TVAR
          FALSO CIELO DE DRYWALL STD - DPTO,COB
             SOL Y SOMBRA - ALUMINIO Y POLICARBONATO JARDIN ,TVAR
             SOL Y SOMBRA - ALUMINIO Y POLICARBONATO SALA BAR,TVAR
             SOL Y SOMBRA - ALUMINIO Y POLICARBONATO PARRILLAS 1,TVAR
             SOL Y SOMBRA - ALUMINIO Y POLICARBONATO PARRILLAS 2,TVAR
             EQUIPAMIENTO PISCINA,TVAR
             IMPERMEABILIZACION PISCINA,REVO
             ENCHAPE DE PEPELMA,REV
             PISO DECK PISCINA AREAS COMUNES,PP
             TABLERO DE GRANITO BLANCO SERENA AA.CC.,TAB
             PARRILLAS 1 MUEBLE DE MADERA 3.40 X 0.60 X 0.90,TVAR
             PARRILLAS  MUEBLE MESA DE CONCRETO ,TVAR
             PARRILLAS 2 MUEBLE DE MADERA 4.75 X 0.60 X 0.90,TVAR
             PARRILLAS 2 MUEBLE MESA DE CONCRETO ,TVAR
             PARRILLAS METALICAS,TVAR
        ASCENSORES (Suministro - Colocación),ASC
        VIGAS Y COLUMNAS METALICAS,ASC
        ELEVADOR DISCAPACITADOS (Suministro - Colocación),ASC
     INSTALACIONES SANITARIAS - MO  EDIFICIO,AF
     INSTALACIONES SANITARIAS - MATERIALES,AF
     SUMINISTRO E INST. DE CONTOMETROS,AF
     EQUIPO AGUA PRESION CONSTANTE 3.5 LPS VS 48.9 MTS,EQB
     EQUIPO AGUA PRESION CONSTANTE 4.9 LPS VS 69.0 MTS,EQB
     EQUIPO AGUA PRESION CONSTANTE 4.6 LPS VS 84.9 MTS,EQB
     EQUIPO  DESAGUE 5.2 LPS VS 29.1 MTS,EQB
     EQUIPO DRENAJE 0.5 LPS VS 17.14 MTS,EQB
          SISTEMA VENTILACION VESTIBULOS PREVIOS (ESC.EVAC.),SVE
          SISTEMA VENTILACION CUARTO DE BOMBAS,SVE
          SISTEMA VENTILACION CUARTO DE BASURA,SVE
          SISTEMA VENTILACION PASADIZOS (AACC),SVE
          SISTEMA VENTILACION CENTRO DE LAVADO Y PET,SVE
          SISTEMA DE EXTRACCION DE MONOXIDO ,SVE
          SISTEMA DE EXTRACCION DE BAÑOS,SVE
     EQUIPO CONTRAINCENDIO ACI (BOMBA),ACI
     RED CONTRAINCENDIO (ACI),ACI
     RED ROCEADORES,ACI
     SISTEMA DE DETECCION Y ALARMA CONTRAINCENDIO,ACI
     EXTINTORES 9 KILOS,ACI
          INSTALACIONES ELECTRICAS - MANO DE OBRA,SAL
          INSTALACIONES ELECTRICAS - MATERIALES EDIFICIO,SAL
          TABLEROS,TEL
          LUMINARIAS y LEDS DEPARTAMENTOS,LUM
          LUMINARIAS Y LEDS AREAS COMUNES,LUM
          LUCES DE EMERGENCIA EN EDIFICIO,EVAC
          SUB ESTACION OBRA CIVILES ,S-E
         INSTALACION DE BANCO DE  MEDIDORES (LUZ DEL SUR),BM
          ACOMETIDA ADICIONAL BANCO DE MEDIDORES,BM
          INSTALACIONES COMUNICACIÓN - MANO DE OBRA,COM
          INSTALACIONES COMUNICACIÓN - MATERIALES,COM
       TELEFONO INTERCOMUNICADOR COMMAX,COM
       CENTRAL EXTERIOR PARA 176 UNIDADES ATLATIC,COM
       CENTRAL PORTERIA  ATLANTIC,COM
          SISTEMA DE CAMARAS DE SEGURIDAD,COM
          GRUPO ELECTROGENO -  60 KW,IEIM
          ACELEROGRAFO,COM
         SELLO CORTAFUEGO,COM
     SUMINISTRO E INSTALACION INTERNA DEPTO,GAS
     VALVULA DE CORTE 2025,GAS
     VALVULA DE CORTE 1216,GAS
"     TUBERIA DE COBRE L 2""",GAS
"     TUBERIA DE COBRE L 1 1/4"" y 1""",GAS
"     TUBERIA DE COBRE L 1 3/4"" ",GAS
"     VALVULA DE CORTE BONONI 2""",GAS
"     VALVULA DE CORTE BONONI 3/4""",GAS
          REDES SANITARIAS EN EXTERIORES (con reconsideracion),CAA
          REDES ELECTRICAS EN EXTERIORES,IEIM
          MEJORAMIENTO DE VIAS Y ACCESOS,ESTIM
"     INCREMENTO DE MANO DE OBRA  2021-2022, 2022-2023",ESTIM
     RELACIONES INDUSTRIALES Y APOYO POLICIAL,ESTIM
     GASTOS GENERALES,GG
     ADMINISTRACIÓN DE OBRA,ADM
OFICINAS PARA CONTRATISTA,OP
OFICINAS PARA SUPERVISIÓN,OP
SALA DE REUNIONES,OP
ALMACEN DE OBRA,OP
COMEDOR PARA OBREROS,OP
CASETA DE GUARDIANIA,OP
VESTUARIO PARA OBREROS,OP
BAÑOS PORTATILES DE OBRA,OP
BAÑOS HIGIÉNICOS PARA EL PERSONAL PROFESIONAL Y LA SUPERVISIÓN,OP
CERCO DE OBRA ENTRE ETAPAS ANTERIORES Y ETAPA 5 Y 6,OP
PORTON DE INGRESO A OBRA,OP
CARTEL DE OBRA,OP
MOBILIARIO,OP
MOVIMIENTO DE CERCO METALICO PROVISIONAL,OP
PROTECCION CONTRA VECINOS,OP
GUARDIANIA DE OBRA,OP
INSTALACION PROVISIONAL DE AGUA Y DESAGUE,OP
INSTALACION PROVISIONAL DE ENERGIA ELECTRICA,OP
INSTALACIÓN PROVISIONAL TELEFÓNICA Y DE COMUNICACIONES,OP
CONSUMO DE AGUA PARA LA OBRA,OP
CONSUMO DE ENERGIA ELECTRICA,OP
"CONSUMO DE TELEFONO, INTERNET",OP
INSTALACION DE CAMARA,OP
DEMOLICION DE CONSTRUCCIONES ,OP
DEMOLICION DE DPTO PILOTO,OP
"DEMOLICION DE VEREDAS EXTERIORES, INC. JARDINERAS",OP
"MOVILIZACION DE EQUIPOS, CAMPAMENTO Y MATERIALES DE OBRA",OP
TRANSPORTE VERTICAL ,OP
ACARREO HORIZONTAL,OP
TRAZO Y REPLANTEO DURANTE LA EJECUCION DE OBRA (CASCO),OP
LIMPIEZA PERMANENTE DE OBRA,OP
LIMPIEZA FINAL DE OBRA DPTOS,OP
ELIMINACION MATERIAL EXCEDENTE,OP
LIMPIEZA FINAL DE OBRA AREAS COMUNES,OP
SHUTE DE DESCARGA DE DESMONTE,OP
"ELABORACION, IMPLEMENTACION Y ADMINISTRACION DEL PLAN DE SEGURIDAD Y SALUD EN EL TRABAJO",SEG
EQUIPOS DE PROTECCION INDIVIDUAL (EPI),SEG
EQUIPOS DE PROTECCION COLECTIVA (EPC),SEG
SEÑALIZACION TEMPORAL DE SEGURIDAD,SEG
"CAPACITACION EN SEGURIDAD, SALUD, MEDIO AMBIENTE",SEG
RECURSOS PARA RESPUESTAS ANTE EMERGENCIAS EN SEGURIDAD Y SALUD DURANTE EL TRABAJO,SEG
MALLA ANTICAIDAS,SEG
MEDIO AMBIENTE (INCL. MONITOREO),SEG
EQUIPOS DE EMERGENCIA,SEG
FORMATOS DE GESTION,SEG
SEGURITO  ASISTENTE PDR Y OPERATIVO (1 OPERARIO),SEG
SEGURITO  OPERATIVO (1 OFICIAL),SEG
VIGIAS (1 peones),SEG
AGUA EN BIDONES,SEG
TESTIGOS DE CONCRETOS,OP
PROTOR MODIFICADO,OP
DENSIDAD DE CAMPO,OP
CONTROL DE POLVO,OP
ENSAYOS DE INTEGRIDAD PIT,OP
GESTION VECINAL,ESTIM
VEREDAS VECINAS,ESTIM
PERMISO MUNICIPAL POR OCUPACION DE VEREDA Y VIAS,ESTIM
CONCRETO f'c=100kg/cm2 + 30% P.G.,CS
ENCOFRADO Y DESENCOFRADO DE SUB ZAPATAS,CS
CURADO,CS
CONCRETO F´C=210 KG/CM2 ,CA
ENCOFRADO Y DESENCOFRADO DE PAVIMENTOS DE CONCRETO,CA
CURADO,CA
CONCRETO F´C=210 KG/CM2 ,CA
ENCOFRADO Y DESENCOFRADO DE PAVIMENTOS DE CONCRETO,CA
CURADO,CA
CONCRETO PREMEZCLADO EN PLATEA DE CIMENTACION f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO DE PLATEA DE CIMENTACION,CA
"ACERO CORRUGADO F'y = 4,200 Kg/cm2 (DOLARES)",CA
CURADO,CA
VIGAS DE CIMENTACIÓN,CA
CONCRETO PREMEZCLADO EN VIGAS DE CIMENTACION f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO DE VIGAS DE CIMENTACIÓN,CA
"ACERO CORRUGADO F'y = 4,200 Kg/cm2",CA
CURADO,CA
CONCRETO PREMEZCLADO EN CIMIENTO CORRIDO f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO ,CA
CURADO,CA
CONCRETO PREMEZCLADO EN ZAPATAS  f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO ,CA
ACERO FY=4200 KG/CM2 ,CA
CURADO,CA
CONCRETO PREMEZCLADO EN PLACAS DE CONCRETO f'c=175 Kg/cm2,CA
CONCRETO PREMEZCLADO EN PLACAS DE CONCRETO f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO ,CA
ACERO FY=4200 KG/CM2 ,CA
CURADO,CA
CONCRETO PREMEZCLADO EN TABIQUES DE CONCRETO f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO ,CA
ACERO FY=4200 KG/CM2 ,CA
CURADO,CA
CONCRETO PREMEZCLADO EN LOSA DE TECHO f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO ,CA
ACERO FY=4200 KG/CM2 ,CA
CURADO,CA
CONCRETO PREMEZCLADO EN LOSA DE TECHO f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO ,CA
ACERO FY=4200 KG/CM2 ,CA
CURADO,CA
LOSA MACIZA H= 0.25m,CA
CONCRETO PREMEZCLADO EN LOSA DE TECHO f'c=350 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO ,CA
ACERO FY=4200 KG/CM2 ,CA
CURADO,CA
LOSA MACIZA H= 0.45m,CA
CONCRETO PREMEZCLADO EN LOSA DE TECHO f'c=350 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO ,CA
ACERO FY=4200 KG/CM2 ,CA
CURADO,CA
VIGAS,CA
CONCRETO PREMEZCLADO EN VIGAS f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO DE VIGA,CA
ACERO FY=4200 KG/CM2 EN VIGAS,CA
CURADO,CA
ESCALERA,CA
CONCRETO PREMEZCLADO EN ESCALERAS  f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO DE ESCALERA,CA
ACERO FY=4200 KG/CM2 EN ESCALERA,CA
CURADO,CA
PARAPETOS,CA
CONCRETO PREMEZCLADO EN PARAPETOS  f'c=210 Kg/cm2,CA
ENCOFRADO Y DESENCOFRADO,CA
ACERO FY=4200 KG/CM2,CA
CURADO,CA
CORTE ASERRADO ,CA
COBERTURA DE PLASTICO AZUL PARA CIMENTACIONES,CS
SOBRELOSA E=0.15 EN BAÑOS DE DPTOS,CS
JUNTA SISMICA ASERRADA CON DOWELLS,CS
BANCO DE MEDIDORES,CS
GASTOS EN ACERO EN DOLARES,CA
TABIQUE DE PLACA UNIBLOCK P7 - KINGBLOCK P9,ALB
TABIQUE DE PLACA KINGBLOCK P9,ALB
TABIQUE DE PLACA UNIBLOCK P10 - KINGBLOCK P9,ALB
TABIQUE DE PLACA UNIBLOCK P14 - KINGBLOCK P14,ALB
