Descripcion,Codigo,Especialidad
"salida interruptor triple (entubado, cajas, cableado)",SAL,IIEE
salida conmutacion,SAL,IIEE
salida doble conmutacion,SAL,IIEE
salida pulsador timbre,SAL,IIEE
alimentadores para circuitos luz tomac areas comunes,SAL,IIEE
-x mm lsoh +x mm(n)+x mm(t)- mm,SAL,IIEE
placas artefactos,SAL,IIEE
"luminarias servicios generales, estacionamientos, areas comunes / no inc luminarias",SAL,IIEE
placa interruptor simple,SAL,IIEE
placa interruptor doble,SAL,IIEE
placa interruptor triple,SAL,IIEE
placa interruptor conmutacion,SAL,IIEE
placa interruptor doble conmutacion,SAL,IIEE
placa pulsador timbre + tapa ciega,SAL,IIEE
suministro e instalacion equipos,SVE,EQUIPAMIENTO
sistema integran ventilacion - cuarto bombas,SVE,EQUIPAMIENTO
sistema integran ventilacion - cuarto bombas ptar,SVE,EQUIPAMIENTO
sistema integran ventilacion - camara bombeo,SVE,EQUIPAMIENTO
sistema integran ventilacion - cuarto tecnio,SVE,EQUIPAMIENTO
sistema integran ventilacion - ventilacion vestibulos presurizacion escaleras,SVE,EQUIPAMIENTO
sistema integran ventilacion - ventilacion pasillos,SVE,EQUIPAMIENTO
sistema integran ventilacion - cuarto basura,SVE,EQUIPAMIENTO
sistema integran ventilacion - ventilacion banos,SVE,EQUIPAMIENTO
sistema integran ventilacion - grupo electrogeno,SVE,EQUIPAMIENTO
sistema gas,GAS,EQUIPAMIENTO
equipamiento,EQIM,EQUIPAMIENTO
suministro e instalacion ascensor ( pisos / paradas - marca schindler - ascensores),ASC,EQUIPAMIENTO
suministro e instalacion ascensor discapacitado ( paradas - marca ecotech),ASC,EQUIPAMIENTO
oficinas para contratista,OP,ESTRUCTURAS
almacen depositos,OP,ESTRUCTURAS
comedor para obreros,OP,ESTRUCTURAS
vestuario para obreros,OP,ESTRUCTURAS
"banos, duchas lavatorios para obreros",OP,ESTRUCTURAS
sshh para staff,OP,ESTRUCTURAS
porton metalico *,OP,ESTRUCTURAS
guardiania obra,OP,ESTRUCTURAS
proteccion vecinos colidantes,TP,ESTRUCTURAS
reubicacion cerco obra existente,TP,ESTRUCTURAS
sistema ventilacion sotanos,TP,ESTRUCTURAS
shute para descarga desmonte,TP,ESTRUCTURAS
instalacion provisional desague,OP,ESTRUCTURAS
instalacion provisional energia electrica,OP,ESTRUCTURAS
instalacion provisional telefonica comunicaciones para construccion,OP,ESTRUCTURAS
ampliacion carga energia electrica,OP,ESTRUCTURAS
consumo agua para obra,TP,ESTRUCTURAS
consumo energia electrica punto energia desde mes,TP,ESTRUCTURAS
consumo internet telefono,TP,ESTRUCTURAS
demolicion construccion existente,TP,ESTRUCTURAS
demoliciones cimientos existentes,TP,ESTRUCTURAS
movilizacion / desmovilizacion equipos,TP,ESTRUCTURAS
alquiler grua torre (inc rigger),TP,ESTRUCTURAS
montaje grua torre,TP,ESTRUCTURAS
desmontaje grua torre,TP,ESTRUCTURAS
cimentacion especial para grua torre,TP,ESTRUCTURAS
alquiler grupo electrogeno para grua torre,TP,ESTRUCTURAS
alquiler escalera metalicas para accesos a sotanos,TP,ESTRUCTURAS
acarreo horizontal,TP,ESTRUCTURAS
alquiler andamios para tarrajeos fachada,TP,ESTRUCTURAS
trazo replanteo durante ejecucion obra (estructuras),TP,ESTRUCTURAS
trazo replanteo durante ejecucion obra (albanileria),TP,ESTRUCTURAS
"elaboracion, implementacion administracion del plan seguridad salud en trabajo",SEG,ESTRUCTURAS
recursos para respuestas ante emergencias en seguridad salud durante trabajo,SEG,ESTRUCTURAS
medio ambiente (incl monitoreos),SEG,ESTRUCTURAS
senaletica (interior exterior),SEG,ESTRUCTURAS
malla anticaidas,SEG,ESTRUCTURAS
equipos comunicacion,SEG,ESTRUCTURAS
asistente pdr operario (),SEG,ESTRUCTURAS
sistema covid-,SEG,ESTRUCTURAS
testigos concretos,ESTIM,ESTRUCTURAS
protor modificado,ESTIM,ESTRUCTURAS
densidad campo,ESTIM,ESTRUCTURAS
limpieza final obra obra,TP,ESTRUCTURAS
eliminacion material producto desperdicio materiales,TP,ESTRUCTURAS
permiso municipal por ocupacion vias,TP,ESTRUCTURAS
reparacion zonas vecinas,TP,ESTRUCTURAS
excavacion masiva (inc eliminacion),MT,ESTRUCTURAS
alquiler maquina excavadora para trabajos varios,MT,ESTRUCTURAS
excavacion manual cimientos armados,MT,ESTRUCTURAS
excavacion manual para zapatas,MT,ESTRUCTURAS
excavacion manual vigas cimentacion,MT,ESTRUCTURAS
excavacion manual para pozo septico,MT,ESTRUCTURAS
excavacion zanja para traslape acero muro pantalla,MT,ESTRUCTURAS
relleno con material propio- masivo,MT,ESTRUCTURAS
relleno con material prestamo e=,MT,ESTRUCTURAS
relleno manual con material propio para traslape acero muro pantalla,MT,ESTRUCTURAS
nivelacion compactacion del terreno,MT,ESTRUCTURAS
paneteo terrenopara muro contencion,MT,ESTRUCTURAS
acarreo horizontal,MT,ESTRUCTURAS
falsas zapatas f'c = kg/cm+ % pg,CS,ESTRUCTURAS
solado e= cm- cimientos armados,CS,ESTRUCTURAS
solado e= cm- zapatas,CS,ESTRUCTURAS
solado e= cm- cisterna,CS,ESTRUCTURAS
solado e= cm- viga cimentacion,CS,ESTRUCTURAS
concreto mezclado f'c = kg/cm muros anclados,CA,ESTRUCTURAS
encofrado desencofrado muros anclados,CA,ESTRUCTURAS
"acero refuerzo fy=, kg/cm - muros anclados",CA,ESTRUCTURAS
"acero refuerzo fy=, kg/cm -refuerzo anclaje",CA,ESTRUCTURAS
curado concreto con aditivo curador,CA,ESTRUCTURAS
epoxico en union entre losas techo sotanos muros anclados,CA,ESTRUCTURAS
tecnopor en union entre losas techo sotanos muros anclados,CA,ESTRUCTURAS
sistema anclajes en muros anclados,CA,ESTRUCTURAS
resane muros en zonas empalmes muros,CA,ESTRUCTURAS
retiro tecnopor escarificado en union entre losas muros pantalla,CA,ESTRUCTURAS
tuberia pvc en punto anclaje,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm cimentos armados,CA,ESTRUCTURAS
encofrado desencofrado cimientos armados,CA,ESTRUCTURAS
"acero refuerzo fy=, kg/cm",CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm zapatas,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm - vigas cimentacion,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm en losa contraterreno,CA,ESTRUCTURAS
encofrado desencofrado losa contraterreno,CA,ESTRUCTURAS
"junta dilatacion "" en piso (ja)",CA,ESTRUCTURAS
junta aislamiento con estructura perimetrica (jc),CA,ESTRUCTURAS
junta dilatacion alrededor columnas con sello sika sil- sl,CA,ESTRUCTURAS
corte sellado junta contraccion,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm muros contencion,CA,ESTRUCTURAS
encofrado desencofrado muros armados,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm relacion a/c=,CA,ESTRUCTURAS
water stop,CA,ESTRUCTURAS
limpieza desinfeccion cisterna,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm columnas,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm placas,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm vigas,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm losas,CA,ESTRUCTURAS
apuntalamiento losas,CA,ESTRUCTURAS
preslosa aligerada e=,CA,ESTRUCTURAS
sellado juntas entre prelosas,CA,ESTRUCTURAS
concreto f'c = kg/cm losas,CA,ESTRUCTURAS
preslosa maciza e=,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm escaleras,CA,ESTRUCTURAS
concreto premezclado f'c = kg/cm,CA,ESTRUCTURAS
encofrado desencofrado camara desague,CA,ESTRUCTURAS
encofrado desencofrado bases,CA,ESTRUCTURAS
"junta aislamiento """,CA,ESTRUCTURAS
concreto f'c = kg/cm viguetas amarre - cercos,CA,ESTRUCTURAS
encofrado desencofrado viguetas amarre,CA,ESTRUCTURAS
encofrado desencofrado parapetos,CA,ESTRUCTURAS
"juntas separacion sismica """,CA,ESTRUCTURAS
muro ladrillo kk e=cm - soga cerco colindancia con vecinos,ALB,ARQUITECTURA
muro ladrillo kk e=cm -cabeza,ALB,ARQUITECTURA
tabique ladrillo calcareo p-,ALB,ARQUITECTURA
tabique ladrillo calcareo p- rf,ALB,ARQUITECTURA
tarrajeo frotachado muros laterales,REVO,ARQUITECTURA
tarrajeo muros cerco,REVO,ARQUITECTURA
tarrajeo columnas placas pisos superiores,REVO,ARQUITECTURA
tarrajeo impermeabilizado o revestimiento impermeabilizado cisterna,REVO,ARQUITECTURA
tarrajeo impermeabilizado o revestimiento impermeabilizado jardineras,REVO,ARQUITECTURA
impermeabilizacion con membrana en pisos paredes jardinera,REVO,ARQUITECTURA
"derrames vanos puertas, ventanas mamparas",REVO,ARQUITECTURA
derrame escaleras,REVO,ARQUITECTURA
solaqueado muros sotanos,REVO,ARQUITECTURA
solaqueado placas columnas sotanos,REVO,ARQUITECTURA
solaqueado vigas sotanos,REVO,ARQUITECTURA
solaqueado cuarto bombas,REVO,ARQUITECTURA
solaqueado placas laterales colindantes con los vecinos,REVO,ARQUITECTURA
resane limpieza cajon interior ascensores,REVO,ARQUITECTURA
resane limpieza ducto instalaciones monoxidos,REVO,ARQUITECTURA
solaqueados parapetos,REVO,ARQUITECTURA
solaqueado sellados juntas en cielos rasos c/prelosas- sotanos,REVO,ARQUITECTURA
solaqueado en cielo raso concreto armado aligeradas piso superiores,REVO,ARQUITECTURA
solaqueado fondo escalera,REVO,ARQUITECTURA
solaqueado cielo raso cisterna,REVO,ARQUITECTURA
resvetimiento c/mapelastic impermeabilizado cielo raso cisterna,REVO,ARQUITECTURA
contrapiso e= mm ( solamente en a piso),PP,ARQUITECTURA
acabado alisado o frotachado en pisos estacionamientos,PP,ARQUITECTURA
acabado frotachado losas para recibir pisos pegables,PP,ARQUITECTURA
"pisos cemento pulido e= """,PP,ARQUITECTURA
piso cemento brunado rampas ingreso vehicular,PP,ARQUITECTURA
pisos cemento pulido o revestimientos impermeabilizado en cisterna,PP,ARQUITECTURA
pisos cemento pulido o revestimientos impermeabilizado en jardineras,PP,ARQUITECTURA
veredas publicas exteriores (reposicion): concreto frotachado brunado,PP,ARQUITECTURA
acabado cemento pulido pasos contrapasos escaleras servicios,REV,ARQUITECTURA
cantoneras alumnio x mm para pasos,REV,ARQUITECTURA
acabado cemento pulido descanso escalera,REV,ARQUITECTURA
forjado pasos contrapasos zonas comunes,REV,ARQUITECTURA
contrazocalos cemento pulido h= cm-escalera,ZC,ARQUITECTURA
"media cana "" en zona cisterna",ZC,ARQUITECTURA
cobertura ladrillo pastelero sobre muros cerco,COB,ARQUITECTURA
zocalo mayolica blanc brillante x o similar (cocina),ZC,ARQUITECTURA
zocalo mayolica blanc brillante x o similar (lavanderia),ZC,ARQUITECTURA
zocalo mayolica artica marfile x o similar (bano ),ZC,ARQUITECTURA
zocalo ceramico san lorenzo x blanco brillante o similar (vestuarios- bano discapacitado),ZC,ARQUITECTURA
revestimiento madera shichuhuaco- fachadas incl andamio,ZC,ARQUITECTURA
revestimiento graniplast- cercos fachada,ZC,ARQUITECTURA
contrazocalo cemento h= m,ZC,ARQUITECTURA
contrazocalo porcelanato h= m - hall ascensores-,ZC,ARQUITECTURA
contrazocalo porcelanato x color cemento beige o similar -cocinas,ZC,ARQUITECTURA
contrazocalo porcelanato x color cemento humo o similar - bano visita,ZC,ARQUITECTURA
contrazocalo porcelanato x color cemento beige o similar - lavanderia,ZC,ARQUITECTURA
porcelanato x color cemento humo o similar - terrazas balcones,ZC,ARQUITECTURA
contrazocalo porcelanato pulido x (ingreso -lobby),ZC,ARQUITECTURA
media cana en cisterna,ZC,ARQUITECTURA
"contrazocalo vinilico spc (sistema click) espesor mm,resistente al agua alto transito- sala comedor- dormitorios",ZC,ARQUITECTURA
piso porcelanato x color cemento beige o similar (kictchennete),PP,ARQUITECTURA
porcelanato x color cemento humo o similar (banos visita),PP,ARQUITECTURA
piso porcelanato x color cemento beige o similar (bano ),PP,ARQUITECTURA
"porcelanato x color cemento humo o similar (bano , )",PP,ARQUITECTURA
piso porcelanato x color cemento beige o similar (lavanderia),PP,ARQUITECTURA
piso ceramico x san lorenzo - banos comunes,PP,ARQUITECTURA
piso porcelanato x color cemento humo o similar (patios- balcones),PP,ARQUITECTURA
piso porcelanato x (hall ascensores),PP,ARQUITECTURA
piso porcelanato x (ingreso edificio),PP,ARQUITECTURA
piso porcelanato pulido x (lobby- hall espera),PP,ARQUITECTURA
piso porcelanato pulido x (estar area comun- kichennete),PP,ARQUITECTURA
piso porcelanato pulido x cemento humo (sshh - lobby),PP,ARQUITECTURA
piso porcelanato pulido x cemento humo (cto basura),PP,ARQUITECTURA
piso porcelanato pulido x cemento humo (estacionamiento bicicleta),PP,ARQUITECTURA
"piso vinilico spc (sistema click) espesor mm,resistente al agua alto transito- sala, comedor, dormitorios",PP,ARQUITECTURA
puerta tipo pv-o madera contrapalaca mdf (*) - ingreso dptos,PUER,ARQUITECTURA
puerta tipo pv- madera contrapalaca mdf (*) - dormitorios,PUER,ARQUITECTURA
puerta tipo pv- madera contrapalaca mdf (*) - sshh,PUER,ARQUITECTURA
puerta tipo pv- madera contrapalaca mdf (*)- corrediza - bano principal,PUER,ARQUITECTURA
puerta tipo pv- madera cortafuego (*)- corrediza - sala comedor,PUER,ARQUITECTURA
"puerta s/c, deposito estac , madera contraplacada con rejilla (*)",PUER,ARQUITECTURA
puerta tipo ps- melamine cortafuego (*) - ducto montantes,PUER,ARQUITECTURA
puerta seccionable ingreso vehicular (*),PUER,ARQUITECTURA
closet melamine blanco grueso cl= m,CLO,ARQUITECTURA
wcl melamine blanco grueso l= + m,CLO,ARQUITECTURA
wcl melamine blanco grueso l= m,CLO,ARQUITECTURA
mueble tipo a = mb= (+) ma=,MCO,ARQUITECTURA
mueble tipo b= mb= (+) ma=,MCO,ARQUITECTURA
mueble tipo c= mb= (+) ma=,MCO,ARQUITECTURA
mueble tipo d = mb= (+) ma=+,MCO,ARQUITECTURA
mueble tipo e= mb= (+) ma=,MCO,ARQUITECTURA
mueble para bano l= m,MCO,ARQUITECTURA
puerta tipo pe- cortafuego rf- (*) - escaleras con barra antipanica,CMT,ARQUITECTURA
puerta tipo pe- cortafuego rf- (*) - escaleras,CMT,ARQUITECTURA
puerta tipo s/c cortafuego rf- (*) - cto basura,CMT,ARQUITECTURA
puerta tipo ps-cortafuego rf- (*) - bano,CMT,ARQUITECTURA
puerta tipo ps-cortafuego rf- (*) - closet,CMT,ARQUITECTURA
barandas metalicas escaleras,CMT,ARQUITECTURA
pasamanos metalicos escaleras,CMT,ARQUITECTURA
"pasamanos metalicos gradas en sotanos o """,CMT,ARQUITECTURA
"pasamanos acero inoxidable ""- ingreso principal",CMT,ARQUITECTURA
barrera direccionamiento a= m,CMT,ARQUITECTURA
tapa metalica para cisterna v- (x),CMT,ARQUITECTURA
tapa metalica pozo sumidero (*),CMT,ARQUITECTURA
tapa camara desague *,CMT,ARQUITECTURA
escalera gato para cisterna h= m,CMT,ARQUITECTURA
escalera gato h=,CMT,ARQUITECTURA
rejilla metalica x,CMT,ARQUITECTURA
"ventana vv- (*), serie vl-, carpinteria aluminio negro; cristal laminado incoloro mm; incluye viniles perimetral para sujecion cristal, incluye jalador lateral para hojas corredizas",VMP,ARQUITECTURA
"mampara mc- (*), sistema carpinteria serie mbl-, cristal laminado incoloro mm, perifles aluminio anodizado color negro, jaladores acero color negro h m; incluye chapa al piso; incluye freno hidraulico, felpas hermeticidad",VMP,ARQUITECTURA
"mampara mv- (*), sistema carpinteria serie mbl-, cristal laminado incoloro mm, perifles aluminio anodizado color negro, jaladores acero color negro h m; incluye chapa al piso; incluye freno hidraulico, felpas hermeticidad",VMP,ARQUITECTURA
espejos para banos,VMP,ARQUITECTURA
baranda vidrio templado mm,VMP,ARQUITECTURA
"pasamano acero inoxidable /""",VMP,ARQUITECTURA
cerradura embutir ginebra para puerta tipo p- - ingreso dptos,CERR,ARQUITECTURA
cerradura para puerta tipo p- - dormitorios,CERR,ARQUITECTURA
cerradura para puerta tipo p-- sshh,CERR,ARQUITECTURA
cerradura para puerta tipo p- - cocina,CERR,ARQUITECTURA
cerradura para puerta tipo p- - depositos,CERR,ARQUITECTURA
cerradura electrica para ingreso principal,CERR,ARQUITECTURA
"bisagras capuchinas /""x /""",CERR,ARQUITECTURA
"tablero cocina: cuarzo blanco e= cm incluye corte para lavadero, encimera horno los cortes los tableros seran piezas rectas, no habra piezas en forma ""l"" uniones entre piezas un mismo tablero seran corte recto se considerara mandil h=cm",TAB,ARQUITECTURA
tablero bano: pedra natural cuarzo color blanco o similar e=cm con soporte metalico zocalo h= cm mandil h=cm- bano secundario,TAB,ARQUITECTURA
tablero bano: marmol carrara venato e= cm con soporte metalico zocalo h= cm mandil h= cm- bano principal,TAB,ARQUITECTURA
revestimiento tablero marmol blanco carrara o similar,TAB,ARQUITECTURA
"lavatorio sobreponer, marca klipen- guardiania",ASG,ARQUITECTURA
"lavatorio empotrado saratoga, marca klipen",ASG,ARQUITECTURA
bowl bali sobreponer color blanco marca vainsa,ASG,ARQUITECTURA
urinario cadet blanco,ASG,ARQUITECTURA
inodoro one piece fv monaco color blanco o similar- bano guardiania,ASG,ARQUITECTURA
"inodoro one piece svsa, marca vainsa",ASG,ARQUITECTURA
lavadero acero inoxidable poza be plus sku marca teka xcm- cocina,ASG,ARQUITECTURA
lavarropa marca trebol modelo amazonas color blanco o similar,ASG,ARQUITECTURA
"monocomando ma, marca vainsa- lavatorios",ASG,ARQUITECTURA
griferia para lavatorio guardiania,ASG,ARQUITECTURA
"griferia monocomando ma, marca vainsa- cocina",ASG,ARQUITECTURA
"griferia mezcladora cromada a pared mal, marca vainsa",ASG,ARQUITECTURA
"mezcladora monocomando para ducha ls, marca vainsa",ASG,ARQUITECTURA
pintura latex en fachadas,PINT,ARQUITECTURA
empaste pintura latex en cielo raso- dptos,PINT,ARQUITECTURA
"acabado cal nieve en en muros, vigas sotanos",PINT,ARQUITECTURA
pintura antihongo en cielo raso sotanos,PINT,ARQUITECTURA
suministro e instalacion geocompuesto drenante macdrain l,TVAR,ARQUITECTURA
suministro tierra preparada sacos kg,TVAR,ARQUITECTURA
acarreo horizontal e instalacion tierra preparada,TVAR,ARQUITECTURA
plantas en area exterior,TVAR,ARQUITECTURA
siembra plantas ornamentales,TVAR,ARQUITECTURA
"transporte plantas, materiales herramientas",TVAR,ARQUITECTURA
alumbrado hermetico led w (suministro),LUM,ARQUITECTURA
downlight adosado led w (suministro),LUM,ARQUITECTURA
spot light downlight led w empotrado (suministro),LUM,ARQUITECTURA
luminaria tipo estaca,LUM,ARQUITECTURA
luminaria en pozo ascensor,LUM,ARQUITECTURA
luz emergencia opalux (suministro),LUM,ARQUITECTURA
instalacion artefactos iluminacion zonas comunes,LUM,ARQUITECTURA
sardinel h= - barandas,TVAR,ARQUITECTURA
construccion tablero concreto para ovalines,TVAR,ARQUITECTURA
impermeabilizacion poza duchas,TVAR,ARQUITECTURA
tapajuntas aluminio en cambio pisos,TVAR,ARQUITECTURA
tapajuntas aluminio mamparas,TVAR,ARQUITECTURA
topellantas,TVAR,ARQUITECTURA
estacionamiento bicicleta,TVAR,ARQUITECTURA
tacho basura lts,TVAR,ARQUITECTURA
counter melamine con diseno funcional revestido en marmol,TVAR,ARQUITECTURA
panel melamine ruteado color madera- lobby,TVAR,ARQUITECTURA
falso cielo raso drywall,TVAR,ARQUITECTURA
vlavula decorativa control gas,TVAR,ARQUITECTURA
revestimiento fachada con rococho,TVAR,ARQUITECTURA
instalacion bidet,ASG,ARQUITECTURA
instalacion lavatorio bano ( poza),ASG,ARQUITECTURA
instalacion mezcladora ducha,ASG,ARQUITECTURA
instalacion lavamopas,ASG,ARQUITECTURA
instalacion lavadero cocina ( pozas),ASG,ARQUITECTURA
instalacion lavatorio cocina ( poza),ASG,ARQUITECTURA
instalacion lavadero ropa,ASG,ARQUITECTURA
calentador l,ASG,ARQUITECTURA
lavadora,ASG,ARQUITECTURA
instalacion grifo riego,ASG,ARQUITECTURA
instalacion medidores dptos,ASG,ARQUITECTURA
instalacion griferias,ASG,ARQUITECTURA
"salida para lavatorio o/"" ( pozas)",AF,IISS
salida para bidet o/,AF,IISS
salida para lavamopas o/,AF,IISS
tuberia pvc c- /'',AF,IISS
trazo replanteo lineal,AF,IISS
"salida agua tratada pvc c- /""",DES,IISS
"tuberia pvc c- /""",DES,IISS
"tuberia pvc c- """,DES,IISS
"valvula esferica /""",DES,IISS
prueba hidraulica agua tratada,DES,IISS
trazo replanteo lineal,DES,IISS
lavatorio bano,DES,IISS
lavadero cocina,DES,IISS
bidet,DES,IISS
lavamopas,DES,IISS
"tuberia pvc para desague agua grises """,DES,IISS
"tuberia pvc para aguas grises """,DES,IISS
"caja registro desague "" x """,DES,IISS
salida para sumidero '' en rejilla x,DES,IISS
relleno con material propio,DES,IISS
electrobomba multietapica vertical en marca hydroo pumps hp v o hz,EQB,IISS
"tablero controlador para sistema presion constante, compuesto por variadores velocidad danfos hp v o hz",EQB,IISS
"suministro valvula bronce, tuberias en acero galvanizado sch, incluye succion descarga",EQB,IISS
instalacion del sistema bombeo,EQB,IISS
tablero arranque para bombas sumergidas con sistema alarma auditiva hp v o hz,EQB,IISS
"suministro valvulas clase , tuberias en pvc clase",EQB,IISS
instalacion sistema bombeo,EQB,IISS
salida dicroicos ( balcones),SAL,IIEE
salida dicroicos en dptos,SAL,IIEE
"salida para centro luz (sotanos depositos,lobby,estar,corredores)",SAL,IIEE
"salida para dicroicos (sotanos depositos,lobby,estar,corredores)",SAL,IIEE
salida para braquete (areas comunes),SAL,IIEE
salida para braquete (terraza-lav),SAL,IIEE
salida para braquete (dptos banos),SAL,IIEE
salida para luminaria philips (estacionamientos-sotanos),SAL,IIEE
salida para tomacorriente cocina electrica,SAL,IIEE
salida para tomacorriente horno electrico,SAL,IIEE
salida para tomacorriente lavaseca,SAL,IIEE
salida para tomacorriente campana,SAL,IIEE
"salida para tomacorriente duplex bipolar con toma a tierra, espigas redondas con disposicion tres en linea, v a acuerdo a ntp-iec -",SAL,IIEE
"salida para tomacorriente duplex bipolar con toma a tierra, espigas redondas con disposicion tres en linea, v a acuerdo a ntp-iec - empotrado en piso o mueble",SAL,IIEE
"salida para tomacorriente duplex bipolar con toma a tierra, espigas redondas con disposicion tres en linea, v a acuerdo a ntp-iec - en pared a prueba agua",SAL,IIEE
llave control x a p/lavadora,SAL,IIEE
salida fuerza para therma,SAL,IIEE
llave control x a p/terma,SAL,IIEE
instalacion luminarias en departamentos,SAL,IIEE
instalacion luminarias en zonas comunes,SAL,IIEE
salida para control manual puerta levadiza,SAL,IIEE
salida fuerza para ascensores,SAL,IIEE
salida fuerza para bombas sumidero hp,SAL,IIEE
salida fuerza para bombas agua hp,SAL,IIEE
salida fuerza para bomba aci,SAL,IIEE
salisa fuerza para bomba jockey,SAL,IIEE
salisa fuerza para bomba ptag hp,SAL,IIEE
salida para control nivel desague,SAL,IIEE
salida fuerza para ic-cbo,SAL,IIEE
salisa fuerza para ec-cbo,SAL,IIEE
del bm al tsg cable -xmm lsoh - tub,CEL,IIEE
del bm al t-pci cable -xmm lsoh - tub,CEL,IIEE
del ge al tta cable -xmm lsoh - tub mm o pvc-p,CEL,IIEE
del tta al tsg cable -xmm lsoh + xmm(t) lsoh - tub mm o pvc-p,CEL,IIEE
del tsg al t-cb cable -xmm lsoh + xmm(t) -tub mm o pvc-p,CEL,IIEE
del tsg al tcco-s cable -xmm lsoh + xmm(t) -tub mm o pvc-p,CEL,IIEE
del tsg al tpc-vhc cable -xmm lsoh + xmm(t) -tub mm o pvc-p,CEL,IIEE
del tsg al tpc-as cable -xmm lsoh + xmm(t) -tub mm o pvc-p,CEL,IIEE
del tta al tpc-vp cable -xmm lsoh + xmm(t) -tub mm o pvc-p,CEL,IIEE
del t-pci al tpc-bci cable -xmm nxoh + xmm(t) lsoh -tub mm o emt,CEL,IIEE
del t-pci al tpc-bj cable -xmm lsoh + xmm(t) -tub mm o pvc-p,CEL,IIEE
del t-cb al tpc-ba cable -xmm lsoh + xmm(t) lsoh -tub mm o pvc-p,CEL,IIEE
del t-cb al tpc-bs cable -xmm lsoh + xmm(t) -tub mm o pvc-p,CEL,IIEE
del t-cb al tpc-ptag cable -xmm lsoh + xmm(t) -tub mm o pvc-p,CEL,IIEE
del bm a t- cable -xmm lsoh + xmm(t) - tub mm o pvc-p,CEL,IIEE
bandeja portacable xmm,CAN,IIEE
te xmm,CAN,IIEE
caja fogo pase xx,CP,IIEE
tablero t-cb,TEL,IIEE
tablero t-pci,TEL,IIEE
tablero t-sg,TEL,IIEE
td tipico t-,TEL,IIEE
"pozo tierra, segun detalle",SPT,IIEE
soldadura exotermica cadwell,SPT,IIEE
cable (xmm lsoh),SPT,IIEE
cable (xmm lsoh o mm pvc-p)med,SPT,IIEE
cable (xmm lsoh o mm pvc-p)t-asc,SPT,IIEE
"placa para tomacorriente duplex bipolar con toma a tierra, espigas redondas con disposicion tres en linea, v a acuerdo a ntp-iec -",SAL,IIEE
"placa para tomacorriente duplex bipolar con toma a tierra, espigas redondas con disposicion tres en linea, v a acuerdo a ntp-iec - empotrado en piso o mueble",SAL,IIEE
"placa para tomacorriente duplex bipolar con toma a tierra, espigas redondas con disposicion tres en linea, v a acuerdo a ntp-iec - en pared a prueba agua",SAL,IIEE
salida para master intercomunicador portero,COM,IIEE
"salida para chapa electrica en vano puerta,coordinar",COM,IIEE
tubo pvc p mmo ti,COM,IIEE
bandeja portacable xmm,COM,IIEE
codo xmm,COM,IIEE
caja fogo pase xx,COM,IIEE
placa intercomunicador,COM,IIEE
salidas para detectores humo,SDC,IIEE
salidas para detectores temperatura,SDC,IIEE
salida para estacion manual (alarma contra incendio),SDC,IIEE
salida para avisador sonora,SDC,IIEE
salidas para sirena - estroboscopica,SDC,IIEE
salidas para central alarmas caci,SDC,IIEE
caja pase xx mm,SDC,IIEE
caja pase octogonal,SDC,IIEE
tuberia pvc-sap mmo,SDC,IIEE
tuberia emt conduit mmo,SDC,IIEE
salida para controlador co,SVE,EQUIPAMIENTO
salida para sensor monoxido,SVE,EQUIPAMIENTO
tuberia pvc-sap mmo,SVE,EQUIPAMIENTO
caja pase xx mm,SVE,EQUIPAMIENTO
tuberia pvc-sap mmo,COM,IIEE
caja pase xx mm,COM,IIEE
"suministro e instalacion electrobomba principal no listada marca barnes hp, operando a gpm@ psi electrobomba jockey hp tablero controlador arranque directo",ACI,EQUIPAMIENTO
plato vortex,ACI,EQUIPAMIENTO
"tuberia acero sch """,ACI,EQUIPAMIENTO
"tuberia acero sch /""",ACI,EQUIPAMIENTO
"linea succion """,ACI,EQUIPAMIENTO
linea impulsion,ACI,EQUIPAMIENTO
"linea prueba """,ACI,EQUIPAMIENTO
"linea alivio /""",ACI,EQUIPAMIENTO
"linea succion /""",ACI,EQUIPAMIENTO
"linea impulsion /""",ACI,EQUIPAMIENTO
"std sprinkler upright, /"" npt, k, temp ordinaria, cobertura standar, respuesta standar, acabado bronce",ACI,EQUIPAMIENTO
"estacion controladora rociadores """,ACI,EQUIPAMIENTO
pruebas hidrostaticas,ACI,EQUIPAMIENTO
gabinete contra incendio tipo ii- valvula angular restrictora,ACI,EQUIPAMIENTO
"valvula angular /"" para toma bomberos",ACI,EQUIPAMIENTO
sistema drenaje red rociadores,ACI,EQUIPAMIENTO
instalaciones internas,GAS,EQUIPAMIENTO
"valvula control /""",GAS,EQUIPAMIENTO
montante cobre,GAS,EQUIPAMIENTO
prueba hermeticidad (montante),GAS,EQUIPAMIENTO
prueba hermeticidad (dptos),GAS,EQUIPAMIENTO
